No;wage;union;nonwhite;married;education;experience;weights;age;education_in_years;experience_in_years
27971;2.736180767;no;no;no;HS dropout;0-4;5759.640137;17;10;1
258111;3.487887278;no;no;yes;Post-graduate;15-19;6682.540039;40;18;16
195995;5.353333622;no;no;yes;Post-graduate;Okt-14;15080.08984;34;17;11
199773;8.813719888;yes;no;yes;Post-graduate;05-Sep;7861.290039;33;18;9
75991;1.619878319;no;no;yes;Elementary;20-24;7442.240234;34;6;22
132967;3.15043397;no;no;no;Elementary;30-34;6280.919922;44;8;30
256510;7.613982667;no;no;no;Some College;05-Sep;7330.700195;28;13;9
26235;7.026512265;yes;no;yes;High School;20-24;6784.569824;39;12;21
172475;3.544922018;no;yes;no;High School;05-Sep;1179.859985;24;12;6
262662;8.218867599;yes;no;yes;High School;20-24;7762.52002;39;12;21
119636;2.464597482;no;no;no;HS dropout;05-Sep;8273.19043;22;10;6
164364;6.205127918;no;no;yes;HS dropout;35-39;7649.740234;53;10;37
13863;18.27924038;no;no;no;College;15-19;6359.299805;38;16;16
31206;2.543543597;no;no;yes;Elementary;20-24;6276.939941;37;8;23
104123;4.962890413;no;no;yes;Some College;0-4;7722.470215;22;14;2
129956;13.05575933;yes;no;yes;Post-graduate;30-34;6269.040039;54;18;30
234834;9.158256995;yes;no;yes;High School;20-24;7198.259766;38;12;20
28585;10.02147147;yes;no;yes;High School;15-19;6698.049805;37;12;19
60502;8.984431277;no;no;yes;Some College;15-19;6522.430176;35;13;16
242275;3.411654245;no;no;yes;Some College;05-Sep;7256.600098;28;15;7
162711;8.301082573;yes;no;yes;High School;15-19;1653.959961;37;12;19
152353;8.068242576;no;no;yes;Post-graduate;25-29;3628.139893;51;17;28
206756;2.985197289;no;no;no;High School;0-4;7489.22998;20;12;2
110401;11.75428554;yes;no;no;High School;05-Sep;6488.290039;24;12;6
145816;4.92919468;no;no;yes;High School;15-19;13427.45996;37;12;19
100784;4.900675205;yes;no;yes;HS dropout;>=40;6566.319824;57;10;41
86395;7.845821583;yes;no;yes;Some College;20-24;6739.950195;43;13;24
213664;12.49968483;no;no;yes;High School;30-34;7084.660156;49;12;31
83626;7.124632015;no;no;yes;High School;25-29;3505.149902;46;12;28
2859;8.110725586;no;no;yes;Some College;Okt-14;1048.27002;34;14;14
13760;12.87614393;no;no;yes;Some College;Okt-14;8069.419922;30;14;10
203075;8.43401521;no;no;no;HS dropout;Okt-14;9420.129883;31;11;14
174630;3.024999914;no;yes;no;High School;0-4;2632.889893;21;12;3
199274;3.440758375;no;no;yes;Elementary;35-39;5760.560059;53;8;39
252697;2.752606628;no;no;no;High School;0-4;7798.620117;21;12;3
154691;4.757265135;no;no;no;High School;15-19;1559.52002;37;12;19
10961;5.071856564;no;no;yes;HS dropout;20-24;6309.569824;35;9;20
167236;8.21071412;no;no;no;College;Okt-14;5263.870117;36;16;14
29341;2.298391904;no;no;no;High School;0-4;6368.410156;19;12;1
230788;2.69888472;no;no;yes;High School;>=40;13923.69043;58;12;40
31012;7.31854836;yes;no;no;High School;Okt-14;6592.620117;28;12;10
192492;4.040816215;no;no;yes;High School;>=40;3699.830078;61;12;43
66246;6.847667713;yes;no;yes;High School;35-39;4724.620117;55;12;37
141692;6.203613179;yes;no;yes;High School;25-29;6976.830078;44;12;26
150959;6.558105597;no;yes;no;High School;0-4;8318.219727;22;12;4
241230;4.209183702;no;no;no;Some College;0-4;7039.589844;20;14;0
114978;5.688034151;no;no;yes;Some College;05-Sep;7495.240234;25;13;6
37407;3.615623704;yes;no;yes;High School;Okt-14;2947.870117;31;12;13
205980;2.525510196;no;no;yes;High School;0-4;6287.089844;20;12;2
196013;6.243733087;yes;no;no;HS dropout;35-39;7707.240234;53;9;38
18496;9.824909346;no;no;yes;High School;35-39;7316.350098;57;12;39
255868;11.54537048;yes;no;no;High School;>=40;12458.87012;58;12;40
97918;13.21432162;no;no;no;Post-graduate;25-29;8249.69043;50;18;26
38820;20.59658949;no;no;yes;High School;Okt-14;4258.600098;29;12;11
6598;4.492574438;yes;no;no;High School;35-39;6233.299805;56;12;38
159892;10.50144544;no;no;yes;Post-graduate;25-29;1906.060059;49;18;25
68880;5.107537535;no;no;no;High School;05-Sep;2821.159912;25;12;7
169343;3.510638266;no;no;no;High School;0-4;7802.069824;21;12;3
253641;5.574642674;no;no;yes;Some College;0-4;3965.219971;21;14;1
169638;1.181640632;no;no;yes;Some College;30-34;7599.310059;54;14;34
48247;6.056056037;yes;no;yes;High School;20-24;5896.97998;42;12;24
262934;2.275116906;no;no;yes;HS dropout;15-19;12823.32031;34;11;17
198662;3.122133013;no;no;no;College;0-4;6146.740234;26;16;4
56112;12.14908834;no;no;yes;Some College;Okt-14;8800.959961;32;14;12
63739;4.417850042;no;no;yes;High School;Okt-14;1844.25;29;12;11
259166;3.424528188;no;no;yes;HS dropout;Okt-14;9497.959961;26;10;10
173756;7.979086648;no;no;yes;High School;Okt-14;3181.98999;32;12;14
38441;11.71549107;no;yes;no;Post-graduate;05-Sep;1483.089966;30;18;6
26554;3.234653536;no;no;no;High School;0-4;8183.97998;21;12;3
131874;16.2884621;no;no;yes;High School;30-34;10126.37012;50;12;32
23363;8.782257959;no;no;yes;College;05-Sep;7440.450195;29;16;7
153023;5.699705462;no;no;yes;Elementary;30-34;401.8599854;44;8;30
165637;4.682735136;no;no;no;HS dropout;0-4;8450.629883;18;11;1
32372;2.484269736;no;no;no;Some College;0-4;6059.180176;22;14;2
113651;3.931124244;no;no;yes;High School;Okt-14;7212.160156;31;12;13
86959;6.000826308;yes;no;yes;HS dropout;>=40;7337.709961;61;10;45
140433;6.600000351;no;no;yes;High School;25-29;5888.470215;45;12;27
94996;10.6820305;no;no;yes;Post-graduate;05-Sep;7716.490234;33;18;9
168630;11.9617152;yes;no;yes;College;15-19;10464.55957;39;16;17
39795;10.58443259;no;no;no;Post-graduate;25-29;5269.779785;53;18;29
235358;7.523140534;yes;no;yes;High School;Okt-14;11195.16992;32;12;14
163660;9.163579727;yes;no;yes;College;15-19;6759.740234;37;16;15
32874;8.846098048;yes;no;yes;High School;30-34;7344.259766;50;12;32
16302;2.87524749;no;no;no;Some College;0-4;7508.399902;21;13;2
183718;6.936734403;yes;no;yes;Elementary;Okt-14;6390;28;8;14
107537;24.38549097;no;no;yes;Post-graduate;30-34;10395.80957;57;17;34
146225;8.802134336;no;no;yes;High School;15-19;5246.279785;37;12;19
79481;4.879032153;no;yes;yes;Some College;20-24;8780.860352;41;13;22
146062;9.33129793;no;no;yes;College;20-24;7277.240234;45;16;23
171866;5.238095286;no;yes;no;Some College;20-24;629.2199707;40;13;21
149396;11.79337156;no;no;no;College;25-29;7667.649902;51;16;29
47594;12.50080244;no;no;yes;Some College;05-Sep;4408.77002;30;15;9
46837;5.715786411;no;yes;no;HS dropout;20-24;8672.629883;40;10;24
41040;7.564044461;no;no;no;Elementary;Okt-14;7880.879883;26;8;12
144059;2.386751669;no;no;yes;Some College;0-4;3643.570068;21;14;1
7375;2.966292031;yes;no;yes;High School;05-Sep;7773.220215;26;12;8
11456;4.709580943;yes;no;no;HS dropout;>=40;7767.120117;58;10;42
171379;5.170939975;no;no;yes;Some College;20-24;8109.649902;43;13;24
133203;7.966626401;no;no;yes;Post-graduate;Okt-14;8428.179688;36;17;13
133607;6.067236171;no;no;no;Some College;0-4;4340.569824;21;14;1
46750;1.472616652;no;yes;no;High School;0-4;15668.40039;22;12;4
171345;2.12280696;no;no;no;Elementary;05-Sep;9844.69043;22;8;8
221464;6.311560222;no;no;no;Elementary;25-29;7530.759766;41;8;27
148568;5.860398958;no;no;no;Elementary;15-19;11902.66992;29;8;15
106207;2.619943067;no;yes;yes;High School;20-24;7276.72998;39;12;21
127590;3.918547724;no;no;no;High School;05-Sep;7094.77002;26;12;8
160488;6.412168863;no;no;yes;College;20-24;3413.530029;42;16;20
58381;12.59717744;no;no;no;High School;25-29;5408.410156;43;12;25
179719;2.520833283;no;no;no;HS dropout;0-4;4355.649902;16;9;1
258579;2.231284383;no;yes;yes;Elementary;>=40;11196.4502;60;6;48
231440;6.703601187;no;no;yes;High School;25-29;6652.160156;44;12;26
169828;12.99899164;no;no;yes;Post-graduate;35-39;6494.049805;62;18;38
39059;8.782257959;yes;no;no;High School;15-19;6293.009766;36;12;18
225239;8.43401521;no;yes;yes;Post-graduate;25-29;4466.120117;53;18;29
206196;13.46938755;yes;no;yes;High School;30-34;6067.490234;52;12;34
249992;3.330275073;no;no;yes;HS dropout;Okt-14;7552.279785;26;10;10
265626;13.6466154;no;no;yes;College;25-29;821.3300171;49;16;27
233365;4.794339637;no;no;yes;HS dropout;20-24;6952.049805;36;9;21
10924;10.94472441;no;no;yes;Post-graduate;15-19;6271.680176;41;18;17
58268;12.24731782;no;no;yes;College;30-34;7834.740234;55;16;33
238354;5.136792374;no;no;yes;Elementary;35-39;4796.910156;53;8;39
172845;15.84384196;no;no;yes;Post-graduate;35-39;619;63;18;39
135549;5.281280548;no;no;yes;Some College;15-19;2982.669922;37;13;18
84072;6.05234064;yes;no;yes;High School;>=40;3780.110107;61;12;43
200469;4.007359606;yes;no;no;High School;Okt-14;9814.950195;32;12;14
56830;7.415730286;no;no;yes;Some College;20-24;4749.370117;43;14;23
112368;6.222857391;yes;no;yes;High School;35-39;7043.339844;53;12;35
88620;3.538011847;no;no;no;High School;Okt-14;2238.689941;28;12;10
121483;10.88297758;no;no;yes;College;05-Sep;1612.660034;27;16;5
87209;7.253105312;no;no;no;Some College;0-4;7215.120117;23;15;2
59375;3.604766798;no;yes;yes;High School;15-19;13324.66016;34;12;16
47159;3.659274173;no;no;yes;Some College;05-Sep;8569.120117;28;14;8
208429;2.838546612;no;no;yes;High School;0-4;5809.359863;22;12;4
222064;15.08310321;no;no;yes;Post-graduate;05-Sep;8476.019531;33;18;9
160879;2.304199179;no;no;no;HS dropout;0-4;2597.600098;19;11;2
81957;8.898876269;yes;yes;yes;Some College;15-19;2602.379883;37;14;17
16151;18.55828055;no;no;yes;College;>=40;6877.680176;62;16;40
16759;10.04056825;no;no;yes;College;Okt-14;14983.33984;34;16;12
152463;5.307017233;no;no;yes;High School;30-34;1585.550049;49;12;31
56861;5.232432275;no;no;yes;High School;15-19;6155.649902;35;12;17
153868;3.447293255;no;no;no;College;0-4;2575.610107;25;16;3
102994;7.11297951;no;no;no;High School;15-19;7451.410156;35;12;17
2494;6.339820116;no;no;yes;College;Okt-14;927.8400269;35;16;13
34035;6.450148017;no;no;yes;High School;05-Sep;2477.840088;25;12;7
85584;11.92763521;no;no;yes;Post-graduate;15-19;4849.629883;41;17;18
252005;5.060409074;no;no;no;Some College;05-Sep;2233.449951;25;13;6
137621;3.544922018;no;yes;yes;Elementary;25-29;7333.930176;38;4;28
103519;9.066281365;yes;no;yes;High School;35-39;7356.160156;53;12;35
260239;8.402778714;no;no;no;Some College;20-24;9313.25;42;15;21
128340;4.69140346;no;yes;no;Elementary;35-39;1635.030029;49;8;35
27068;2.415193702;no;no;no;High School;0-4;7607.299805;21;12;3
2229;8.342696855;no;no;yes;Some College;15-19;1295.569946;37;15;16
242171;2.830734011;no;no;yes;High School;05-Sep;9626.009766;26;12;8
28034;7.906931067;yes;no;yes;High School;Okt-14;7856.790039;28;12;10
7647;5.296950012;no;no;yes;HS dropout;Okt-14;7773.220215;29;9;14
254316;5.343146056;no;no;yes;High School;15-19;2758.219971;37;12;19
70634;5.071856564;no;no;no;High School;0-4;3527.820068;20;12;2
248533;8.01738723;no;no;yes;HS dropout;25-29;1513.430054;44;11;27
211734;5.466990071;no;no;no;High School;Okt-14;5926.439941;29;12;11
89057;2.336311182;no;no;no;HS dropout;0-4;3187.139893;16;10;0
127730;5.317383122;no;no;no;College;0-4;6066.259766;24;16;2
64746;4.719101105;no;no;yes;High School;35-39;983.3900146;57;12;39
216532;5.663345916;no;no;yes;Post-graduate;05-Sep;1325.219971;32;17;9
43362;2.966292031;no;no;yes;Elementary;>=40;4652.359863;54;8;40
58848;5.117342979;no;no;no;Some College;0-4;8501.219727;24;14;4
14362;3.183919557;no;no;no;Post-graduate;05-Sep;6903.890137;31;18;7
60;7.561900512;yes;no;yes;Some College;0-4;2645.530029;24;15;3
126327;3.48703169;no;no;yes;Elementary;>=40;1481.660034;63;7;50
136093;3.312680239;no;no;no;Some College;05-Sep;6812.140137;25;13;6
88521;5.968084773;yes;no;yes;High School;20-24;2133.189941;39;12;21
195905;6.678932746;no;no;yes;Some College;20-24;6064.790039;41;13;22
153721;6.032763573;no;no;yes;High School;>=40;2529.530029;63;12;45
93034;6.44531257;no;no;yes;High School;20-24;8348.009766;41;12;23
162082;5.905262945;no;no;yes;Some College;25-29;6617.700195;48;14;28
150270;10.34187997;no;no;yes;Some College;15-19;8401.540039;35;13;16
135292;5.530761993;yes;no;yes;High School;25-29;19048.42969;47;12;29
135503;10.21047432;no;no;yes;College;35-39;8576.450195;60;16;38
113764;4.881844543;no;no;no;Some College;0-4;5196.5;21;15;0
112557;6.090838896;yes;no;no;High School;Okt-14;8744.639648;32;12;14
6878;10.20705461;no;no;yes;College;0-4;7441.089844;26;16;4
220137;6.343149381;yes;no;yes;Post-graduate;15-19;2629.75;41;18;17
59600;7.068559896;no;no;yes;College;0-4;6070.850098;25;16;3
187227;6.193365135;yes;no;yes;High School;Okt-14;6185.120117;31;12;13
79349;7.135584793;no;no;yes;HS dropout;35-39;7689.52002;52;10;36
210649;4.059645879;no;no;no;Elementary;15-19;10766.32031;31;8;17
5454;7.685135772;no;yes;yes;College;Okt-14;2585.879883;35;16;13
200716;4.329357611;no;no;no;High School;0-4;9116.379883;20;12;2
237883;4.959200652;no;no;yes;Some College;0-4;6651.97998;21;13;2
54925;9.843448496;no;no;yes;College;Okt-14;4089.080078;36;16;14
259454;2.706430538;no;no;yes;Elementary;25-29;6162.950195;32;0;26
14572;7.077036013;yes;no;yes;HS dropout;>=40;6296.879883;59;10;43
140805;9.089179642;no;no;yes;Post-graduate;30-34;7180.5;57;18;33
109345;12.68011489;yes;no;yes;High School;35-39;7945.209961;53;12;35
61018;6.258620653;yes;no;yes;High School;05-Sep;7291.080078;26;12;8
159506;4.168421063;no;no;yes;College;05-Sep;3809.820068;30;16;8
172612;6.320037897;no;no;no;High School;15-19;695.4799805;33;12;15
183028;2.664220147;no;no;no;High School;05-Sep;6459.370117;25;12;7
206100;4.040816215;no;no;yes;College;Okt-14;6205.189941;33;16;11
71717;5.854838534;no;no;no;Post-graduate;Okt-14;7900.009766;33;17;10
168810;8.539143511;yes;yes;yes;Some College;30-34;11379.03027;52;15;31
253708;2.739622479;no;no;no;High School;0-4;3709.469971;19;12;1
160361;5.170939975;no;no;no;Some College;Okt-14;3159.719971;32;13;13
77377;10.86826259;no;no;yes;High School;30-34;6583.669922;50;12;32
77722;8.390955086;no;no;no;HS dropout;25-29;7267.790039;45;10;29
99844;9.443617865;no;no;yes;High School;35-39;7791.350098;53;12;35
43377;3.762586504;no;no;yes;Elementary;20-24;4339.200195;38;8;24
163802;7.239316227;yes;no;yes;High School;05-Sep;2353.459961;27;12;9
104425;2.917894844;no;no;yes;Some College;Okt-14;6810.339844;30;13;11
148431;4.839999745;no;no;yes;HS dropout;35-39;8753.099609;52;9;37
51269;2.635276056;no;yes;no;Elementary;>=40;10298.2998;60;3;51
20404;13.77823301;no;no;yes;High School;25-29;6703.919922;43;12;25
189358;5.377778094;yes;yes;no;College;Okt-14;5731.459961;34;16;12
205474;2.989020996;no;no;yes;Some College;05-Sep;7389.080078;26;13;7
73277;12.6166846;no;no;no;College;20-24;7981.25;44;16;22
70841;4.706230984;no;no;no;High School;Okt-14;7403.819824;30;12;12
177563;8.187969159;no;no;yes;High School;25-29;6253.390137;45;12;27
178532;6.766076535;no;no;yes;Elementary;25-29;5894.299805;34;0;28
17450;6.39425675;no;no;yes;Some College;20-24;7629.569824;39;13;20
203537;7.294283398;no;no;yes;Some College;Okt-14;8707.240234;32;14;12
75131;5.733464709;no;no;yes;Post-graduate;Okt-14;8202.429688;33;17;10
82015;12.67964026;yes;yes;yes;HS dropout;35-39;1967.439941;56;11;39
62696;7.415730286;yes;no;yes;HS dropout;30-34;522.7600098;48;11;31
257864;2.361524133;no;no;yes;High School;15-19;6072.810059;36;12;18
176747;13.28453771;no;no;yes;Post-graduate;05-Sep;1736.839966;32;18;8
167219;3.835734979;no;no;no;HS dropout;05-Sep;5287.799805;24;9;9
10166;14.72616699;yes;no;yes;Post-graduate;30-34;7621.319824;57;18;33
143376;5.47659567;yes;no;yes;HS dropout;35-39;4830.459961;54;9;39
136139;5.546808637;no;no;yes;High School;35-39;7498.200195;55;12;37
136506;4.225024327;no;yes;no;HS dropout;35-39;7424.790039;52;9;37
218271;14.37140583;no;no;yes;High School;15-19;5044.080078;37;12;19
93392;8.642857648;no;no;no;High School;Okt-14;7557.27002;31;12;13
78556;11.12359563;no;no;yes;College;Okt-14;7715.859863;35;16;13
113548;3.159574463;no;no;no;High School;0-4;7994.069824;20;12;2
62095;9.640450558;yes;no;yes;High School;15-19;1560.839966;37;12;19
232814;2.688888882;no;no;no;Some College;>=40;6020.220215;61;14;41
38215;8.907976464;no;no;yes;College;Okt-14;3258.929932;33;16;11
225944;23.65824187;no;no;no;Post-graduate;05-Sep;3767.23999;28;17;5
1182;2.499700575;no;no;no;HS dropout;0-4;1084.550049;16;10;0
38138;5.006620049;no;no;yes;Some College;15-19;1013.080017;37;14;17
116877;3.850530499;no;no;no;Some College;0-4;3080.639893;22;15;1
50535;6.450148017;no;no;no;High School;Okt-14;5219.290039;30;12;12
154671;7.658978795;no;no;yes;College;15-19;2050.310059;41;16;19
51994;8.16564347;yes;no;yes;High School;30-34;6879.709961;49;12;31
224687;6.73469376;yes;no;yes;High School;35-39;3547.820068;55;12;37
151518;10.1517952;no;no;yes;Post-graduate;0-4;7052.779785;28;18;4
67809;7.678152466;no;no;yes;High School;05-Sep;8313.410156;25;12;7
185825;4.16284395;no;no;no;High School;Okt-14;7398.950195;32;12;14
136642;3.500482162;no;yes;yes;Elementary;>=40;7956.899902;59;8;45
224429;9.576572796;no;no;yes;Post-graduate;>=40;9006.450195;64;18;40
125309;4.826210732;no;no;no;HS dropout;0-4;8609.139648;17;11;0
1838;3.996997069;no;no;yes;High School;Okt-14;1796.77002;31;12;13
193856;4.459459374;no;no;yes;High School;30-34;7607.209961;49;12;31
173601;2.52034711;no;yes;no;Some College;0-4;2594.879883;23;15;2
81556;5.728478825;yes;no;no;HS dropout;05-Sep;1891.26001;24;9;9
142064;2.11251216;no;yes;no;High School;15-19;8544.660156;33;12;15
210016;11.84097768;no;no;yes;College;Okt-14;8534.410156;32;16;10
47315;11.94471858;no;no;yes;College;30-34;8141.609863;52;16;30
112690;6.708069821;no;no;yes;Some College;0-4;9566.75;23;13;4
183928;10.63316013;yes;no;yes;HS dropout;>=40;6157.990234;58;11;41
125156;6.320037897;no;no;yes;High School;20-24;4764;41;12;23
60943;2.535928126;no;yes;no;HS dropout;0-4;7015.149902;16;10;0
1334;3.659274173;no;no;no;HS dropout;0-4;2931.149902;17;10;1
91519;8.61823338;yes;no;yes;Some College;05-Sep;6963.509766;25;14;5
148439;11.63904891;no;no;yes;Post-graduate;15-19;9405.480469;39;18;15
217025;7.063049507;no;no;yes;Post-graduate;15-19;1256.01001;40;18;16
174133;2.029822936;no;no;no;Elementary;0-4;2967.590088;16;7;3
178529;13.76303191;no;no;yes;College;30-34;6082.299805;54;16;32
142887;8.016194546;no;no;yes;High School;05-Sep;5020.290039;27;12;9
150193;17.99418237;no;yes;yes;Some College;05-Sep;9430.44043;28;13;9
13330;7.883514429;no;no;yes;High School;15-19;6973.220215;35;12;17
221992;16.04125959;no;no;no;College;Okt-14;12799.59961;35;16;13
193448;8.358552729;yes;no;yes;HS dropout;25-29;7448.939941;46;11;29
180530;4.974444625;no;no;yes;High School;0-4;4376.25;22;12;4
50097;7.415730286;yes;no;yes;High School;15-19;8630.740234;35;12;17
103820;5.006170055;no;no;yes;High School;15-19;6293.399902;37;12;19
244280;23.65824187;no;no;yes;Post-graduate;05-Sep;8415.049805;31;17;8
109792;14.04255312;no;no;yes;Post-graduate;Okt-14;6824.47998;38;18;14
111573;5.170939975;yes;no;yes;HS dropout;25-29;22199.41016;42;9;27
240595;3.351800587;no;yes;yes;HS dropout;30-34;9025.009766;47;11;30
55740;6.239018914;no;no;yes;High School;15-19;4948.850098;36;12;18
141265;3.78631587;yes;no;yes;High School;20-24;6966.27002;38;12;20
74454;8.302278055;no;no;no;High School;15-19;8385.94043;34;12;16
88874;5.453683912;no;no;yes;College;0-4;2271.02002;26;16;4
186278;5.821698342;yes;no;yes;College;15-19;7915.950195;37;16;15
43992;2.474437583;no;no;yes;HS dropout;35-39;7379;51;9;36
213443;9.25076428;no;yes;yes;High School;05-Sep;11945.55957;25;12;7
52251;5.391089281;no;no;yes;High School;25-29;7262.299805;47;12;29
195209;11.01042524;yes;no;yes;High School;Okt-14;7062.350098;32;12;14
146579;10.34187997;no;no;yes;College;20-24;4653.859863;44;16;22
186776;8.302836269;yes;yes;yes;Some College;20-24;6261.799805;44;14;24
130883;19.43371694;no;no;yes;College;20-24;4076.77002;42;16;20
133768;7.798827769;no;no;yes;Post-graduate;Okt-14;4735;37;18;13
191244;1.660567204;no;no;yes;Post-graduate;25-29;5062.540039;48;17;25
173910;19.79360123;no;yes;yes;Post-graduate;25-29;2246.899902;50;17;27
104770;4.584900381;yes;no;no;HS dropout;15-19;6395.580078;31;10;15
25831;7.325405451;yes;no;yes;Some College;Okt-14;7098.399902;30;13;11
43255;2.484269736;no;no;yes;HS dropout;05-Sep;4529.259766;23;10;7
23715;5.938650162;yes;no;no;College;35-39;7112.5;57;16;35
257779;8.218867599;no;no;yes;Elementary;05-Sep;6363.990234;21;6;9
155732;10.56256112;yes;no;yes;Post-graduate;Okt-14;4631.370117;35;17;12
56;5.472361545;no;no;yes;Some College;Okt-14;2588.719971;31;14;11
245902;21.2074295;no;no;yes;College;25-29;10130.99023;48;16;26
187029;5.412861086;yes;yes;yes;High School;Okt-14;7579.740234;30;12;12
135098;7.041707284;no;no;yes;Some College;20-24;6502.060059;41;14;21
27428;13.9044949;no;no;yes;College;05-Sep;6935.240234;27;16;5
106341;8.229395056;yes;no;yes;High School;20-24;1494.040039;42;12;24
237573;2.530204532;no;yes;no;Some College;0-4;14938.48047;20;14;0
154072;3.710511079;no;no;no;High School;0-4;2021.449951;19;12;1
145707;3.980262989;yes;no;yes;High School;25-29;6470.879883;44;12;26
127199;3.964387646;no;no;yes;HS dropout;05-Sep;8848.990234;22;10;6
62336;6.586693575;yes;no;yes;College;15-19;893.4699707;41;16;19
79950;14.3679764;no;no;yes;High School;35-39;6606.379883;53;12;35
72268;8.208543443;no;no;yes;Some College;20-24;6417.049805;42;14;22
67747;4.347305433;no;no;no;High School;15-19;8469.629883;33;12;15
252549;2.789722385;no;no;no;Some College;15-19;9251.160156;35;14;15
12168;7.245509129;yes;no;yes;High School;20-24;7425.339844;40;12;22
159243;4.714746083;no;no;no;Some College;05-Sep;2616.050049;29;15;8
7373;2.7170658;no;no;no;Elementary;15-19;6643.419922;29;5;18
169797;6.563404344;no;no;yes;Some College;Okt-14;7904.459961;33;13;14
99947;12.2516869;no;no;yes;High School;15-19;7099.660156;35;12;17
190942;8.601895155;no;no;yes;College;25-29;5228.200195;48;16;26
49069;9.057030245;no;no;yes;Post-graduate;05-Sep;8908.009766;28;17;5
260875;8.11973605;yes;no;no;High School;35-39;9848.599609;53;12;35
260733;5.339980703;no;yes;yes;Some College;05-Sep;9886.129883;24;13;5
115055;8.285187565;yes;yes;no;High School;05-Sep;7035.200195;26;12;8
38600;3.941757207;no;no;yes;High School;25-29;2200.139893;45;12;27
83963;2.800385656;no;no;no;Some College;0-4;3167.830078;20;13;1
107304;7.124632015;yes;no;yes;HS dropout;25-29;5742.970215;41;10;25
174735;4.815644888;no;no;yes;HS dropout;15-19;2929.530029;31;9;16
33752;2.595505684;no;no;no;HS dropout;0-4;6750.299805;18;11;1
84799;4.362947535;yes;no;yes;Elementary;20-24;1770.640015;36;8;22
198195;2.376987804;yes;no;no;High School;Okt-14;7883.529785;31;12;13
169648;2.106382938;no;no;no;HS dropout;0-4;9438.269531;17;10;1
213544;4.369444304;yes;no;yes;HS dropout;35-39;10426.80957;53;9;38
257212;10.27358477;no;no;yes;HS dropout;>=40;7919.149902;61;10;45
141826;8.027773364;no;no;yes;High School;15-19;6779.609863;36;12;18
138217;7.916258677;no;no;yes;Some College;05-Sep;8320.459961;30;15;9
63737;3.681541733;no;no;yes;Some College;Okt-14;1758.339966;32;14;12
169330;3.792022699;no;no;no;Some College;0-4;8307.769531;19;13;0
91329;10.51424484;no;no;yes;College;Okt-14;7071.029785;35;16;13
114707;5.175654685;no;no;no;High School;05-Sep;9069.240234;24;12;6
144974;10.21047432;no;no;yes;Some College;35-39;3468.179932;55;13;36
231531;10.94387638;no;no;yes;Some College;05-Sep;7546.959961;27;13;8
10387;7.363083479;yes;no;no;High School;05-Sep;8664.530273;26;12;8
118892;2.425531851;no;no;yes;High School;05-Sep;6965.540039;25;12;7
113848;4.253906386;no;no;no;Some College;05-Sep;11028.4502;25;14;5
22861;2.966292031;no;no;no;Some College;0-4;8499.219727;23;13;4
74081;12.61963284;yes;no;no;High School;05-Sep;8006.819824;23;12;5
138883;7.9632481;no;no;no;College;20-24;6434.629883;45;16;23
127267;8.425531783;no;no;yes;High School;Okt-14;12315.98047;32;12;14
155826;12.38304079;yes;no;yes;High School;05-Sep;5648.040039;26;12;8
122174;3.170028709;no;no;yes;High School;20-24;774.0900269;40;12;22
163624;8.71757947;no;no;yes;Some College;15-19;6764.640137;35;14;15
173504;10.95609959;no;yes;yes;College;05-Sep;1791.01001;28;16;6
72057;5.977078594;no;no;no;Some College;05-Sep;5424.390137;29;14;9
66408;5.823050412;no;no;yes;High School;Okt-14;2795.25;29;12;11
1862;8.995280907;yes;no;yes;High School;Okt-14;2779.070068;29;12;11
166672;2.493621138;no;no;yes;College;30-34;6865.009766;55;16;33
206992;12.79370248;no;no;yes;College;35-39;5467.029785;57;16;35
152334;3.510638266;no;no;no;HS dropout;0-4;1331.599976;19;11;2
177295;3.351800587;no;no;no;College;05-Sep;4044.72998;29;16;7
265232;11.20370477;yes;no;yes;High School;Okt-14;1592.699951;32;12;14
252893;10.66398135;yes;no;yes;High School;15-19;7851.879883;37;12;19
237456;15.69900757;no;no;yes;College;05-Sep;9348.950195;28;16;6
8393;1.853932564;no;no;yes;Post-graduate;0-4;7787.629883;28;18;4
98258;6.337536604;yes;no;yes;High School;15-19;6881.77002;37;12;19
227456;5.433114984;no;no;yes;Some College;05-Sep;4244.97998;26;13;7
54111;4.718163972;no;no;yes;High School;15-19;2842.389893;33;12;15
129178;6.669473538;yes;no;yes;Some College;15-19;10238.01953;34;13;15
233048;3.578067005;no;no;yes;High School;Okt-14;8168.580078;29;12;11
97052;6.203613179;yes;yes;yes;High School;15-19;6689.080078;36;12;18
52501;3.741349759;no;no;no;College;05-Sep;5033.680176;31;16;9
8143;8.277690583;yes;no;yes;High School;>=40;6299.25;58;12;40
107981;6.568571123;yes;yes;no;High School;15-19;13506.25;34;12;16
198588;2.471205138;no;no;yes;HS dropout;05-Sep;6713.189941;23;10;7
60717;5.177928161;no;no;yes;College;Okt-14;7568.660156;32;16;10
220823;6.576232884;no;no;no;Some College;15-19;7629.669922;36;13;17
96416;13.62134529;no;no;yes;Post-graduate;15-19;6815.47998;38;17;15
119295;4.826210732;no;no;no;High School;0-4;5453.919922;19;12;1
195144;2.256122491;no;yes;no;HS dropout;05-Sep;11162.30957;22;10;6
215309;3.351800587;no;no;no;High School;05-Sep;1230.48999;24;12;6
